Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	L­u	L­u	L­u	L­u	L­u	L­u	L­u	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)
ThiÕu L©m §ao quyÕt	2	6	1	1	1	1	1											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng chİnh x¸c		QuyÕt YÕu	\script\item\addenda.lua	7	0			
ThiÕu L©m C«n quyÕt	2	6	2	1	1	1	2											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>N©ng cao tû lÖ néi ngoai c«ng phßng ngù trong qu¸ tr×nh thi triÓn Phong Ma C«n Ph¸p, V« Th­êng C«n Ph¸p		QuyÕt YÕu	\script\item\addenda.lua	7	0			
Tr¶m Ma §ao quyÕt	2	6	3	1	1	1	3											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0			
Phong C«n quyÕt	2	6	4	1	1	1	4											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>KhiÕn kÎ ®Şch gi¶m tèc ®é néi c«ng c«ng kİch, tèc ®é xuÊt chiªu gi¶m trong thêi gian ng¾n		QuyÕt YÕu	\script\item\addenda.lua	7	0			
Kim Chung Tr¸o quyÕt	2	6	5	1	1	1	5											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>T¨ng ®iÓm phßng ngù néi c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0			
Nhiªn Méc §ao quyÕt	2	6	6	1	1	1	6											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>KhiÕn môc tiªu gi¶m tû lÖ phßng ngù néi ngo¹i c«ng trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0			
V« Th­êng C«n quyÕt	2	6	7	1	1	1	7											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>Cã tû lÖ t¨ng tèc ®é di chuyÓn trong 1 kho¶n thêi gian 		QuyÕt YÕu	\script\item\addenda.lua	7	0			
X¶ Th©n QuyÕt	2	6	8	1	1	1	8											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0			
§¹i Nh­ Lai quyÕt	2	6	9	1	1	1	9											\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>T¨ng tû lÖ miÔn dŞch hçn lo¹n		QuyÕt YÕu	\script\item\addenda.lua	7	0			
§¹t Ma Vò quyÕt	2	6	10	1	1	1	10											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0			
