§¸nh dÊu tªn ®å vËt	Lo¹i	Trë ng¹i	Duy tr×	TÇng	§é cao	Tû lÖ thu phãng	T­ liÖu mÉu	B¶n ®å	H×nh ¶nh	¢m thanh	File gèc
Hé thñ	Item	0	2160	2	130	120	\image\item\drop\drop_mod001.Mesh	\image\item\drop\drop_mod001.mtl		\Sound\sound_i005.wav	
Trang bŞ b¶o vÖ	Item	0	0	2	130	120	\image\item\drop\drop_mod001.Mesh	\image\item\drop\drop_mod001.mtl		\Sound\sound_i005.wav	
Tr­êng kiÕm	Item	0	2160	2	130	120	\image\item\drop\drop_mod002.Mesh	\image\item\drop\drop_mod002.mtl		\Sound\sound_i005.wav	
C«n	Item	0	2160	2	130	120	\image\item\drop\drop_mod003.Mesh	\image\item\drop\drop_mod003.mtl		\Sound\sound_i005.wav	
¸m khİ	Item	0	2160	2	130	250	\image\item\drop\drop_mod004.Mesh	\image\item\drop\drop_mod004.mtl		\Sound\sound_i005.wav	
§¬n ®ao	Item	0	2160	2	130	120	\image\item\drop\drop_mod005.Mesh	\image\item\drop\drop_mod005.mtl		\Sound\sound_i005.wav	
CÇm	Item	0	2160	2	130	120	\image\item\drop\drop_mod006.Mesh	\image\item\drop\drop_mod006.mtl		\Sound\sound_i005.wav	
Bót	Item	0	2160	2	130	120	\image\item\drop\drop_mod007.Mesh	\image\item\drop\drop_mod007.mtl		\Sound\sound_i005.wav	
Tİch tr­îng	Item	0	2160	2	130	120	\image\item\drop\drop_mod008.Mesh	\image\item\drop\drop_mod008.mtl		\Sound\sound_i005.wav	
Th­¬ng	Item	0	2160	2	130	120	\image\item\drop\drop_mod032.Mesh	\image\item\drop\drop_mod032.mtl		\Sound\sound_i005.wav	
Cung	Item	0	2160	2	130	120	\image\item\drop\drop_mod033.Mesh	\image\item\drop\drop_mod033.mtl		\Sound\sound_i005.wav	
Song ®ao	Item	0	2160	2	130	120	\image\item\drop\drop_mod034.Mesh	\image\item\drop\drop_mod034.mtl		\Sound\sound_i005.wav	
Tr¶o	Item	0	2160	2	130	120	\image\item\drop\drop_mod035.Mesh	\image\item\drop\drop_mod035.mtl		\Sound\sound_i005.wav	
Th­îng y	Item	0	2160	2	130	120	\image\item\drop\drop_mod009.Mesh	\image\item\drop\drop_mod009.mtl		\Sound\sound_i004.wav	
M·o	Item	0	2160	2	130	120	\image\item\drop\drop_mod010.Mesh	\image\item\drop\drop_mod010.mtl		\Sound\sound_i004.wav	
H¹ y	Item	0	2160	2	130	120	\image\item\drop\drop_mod011.Mesh	\image\item\drop\drop_mod011.mtl		\Sound\sound_i004.wav	
§· khãa	Item	0	1	2	130	120	\image\item\drop\drop_mod011.Mesh	\image\item\drop\drop_mod011.mtl		\Sound\sound_i004.wav	
§· khãa	Item	0	1	2	130	120	\image\item\drop\drop_mod011.Mesh	\image\item\drop\drop_mod011.mtl		\Sound\sound_i004.wav	
§· khãa	Item	0	1	2	130	120	\image\item\drop\drop_mod011.Mesh	\image\item\drop\drop_mod011.mtl		\Sound\sound_i004.wav	
Trang trİ Gi¸ng sinh	Item	0	1	2	130	120	\image\item\drop\drop_mod011.Mesh	\image\item\drop\drop_mod011.mtl		\Sound\sound_i004.wav	
Sinh ho¹t	Item	0	540	2	130	200	\image\item\drop\drop_mod012.Mesh	\image\item\drop\drop_mod012.mtl		\Sound\sound_i008.wav	
Bè phÈm	Item	0	2160	2	130	200	\image\item\drop\drop_mod013.Mesh	\image\item\drop\drop_mod013.mtl		\Sound\sound_i006.wav	
Hµo Th¹ch	Item	0	2160	2	130	200	\image\item\drop\drop_mod014.Mesh	\image\item\drop\drop_mod014.mtl		\Sound\sound_i006.wav	
Thùc vËt	Item	0	1080	2	130	200	\image\item\drop\drop_mod015.Mesh	\image\item\drop\drop_mod015.mtl		\Sound\sound_i008.wav	
D­îc phÈm	Item	0	2160	2	130	200	\image\item\drop\drop_mod016.Mesh	\image\item\drop\drop_mod016.mtl		\Sound\sound_i008.wav	
