ID	Name	Belong	ProduceGenre	ProduceSub	ProduceDetail	SecProduceGenre	SecProduceSub	SecProduceDetail	SecProduceRate	Stuff1Genre	Stuff1Sub	Stuff1Detail	Stuff1Num	Stuff2Genre	Stuff2Sub	Stuff2Detail	Stuff2Num	Stuff3Genre	Stuff3Sub	Stuff3Detail	Stuff3Num	Stuff4Genre	Stuff4Sub	Stuff4Detail	Stuff4Num	ToolGenre	ToolSub	ToolDetail	ToolNum	NeedMore	Level	StaminaCost	ExpGain	RecipeDetail	MakeTime	EquipType	Identify
1	B¸nh Ng«	1	1	1	1	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	1	30	0	1	54	0	1
2	B¨ng	1	1	0	1	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	1	10	0	1	54	0	1
3	Kim S¸ng T¸n	6	1	0	2	1	0	3	5	1	2	8	2	0	0	0		0	0	0		0	0	0		0	0	0		0	1	0	3	29	54	0	1
4	ChØ HuyÕt T¸n	6	1	0	3	1	0	4	5	1	2	2	1	1	2	1	1	1	2	8	1	0	0	0		0	0	0		0	3	0	3	29	54	0	1
5	B¹ch V©n t¸n	6	1	0	4	1	0	5	5	1	2	3	1	1	2	2	1	1	2	9	1	0	0	0		0	0	0		0	5	0	3	29	54	0	1
6	Thiªn H­¬ng CÈm Tôc	6	1	0	5	1	0	6	5	1	2	11	3	1	2	9	2	1	2	3	2	1	2	1	2	0	0	0		0	7	0	4	29	54	0	1
7	H¾c Ngäc §o¹n Tôc Cao	6	1	0	6	0	0	0		1	2	4	3	1	2	10	2	1	2	9	2	1	2	8	2	0	0	0		0	8	0	4	29	54	0	1
8	TiÓu Hoµn ®¬n	6	1	0	7	1	0	8	5	1	2	8	1	1	2	1	1	0	0	0		0	0	0		0	0	0		0	2	0	3	30	54	0	1
9	Hoµn D­¬ng ®¬n	6	1	0	8	1	0	9	5	1	2	2	1	1	2	1	1	1	2	8	1	0	0	0		0	0	0		0	4	0	3	30	54	0	1
10	§¹i Hoµn ®¬n	6	1	0	9	1	0	10	5	1	2	3	1	1	2	2	1	1	2	9	1	0	0	0		0	0	0		0	6	0	3	30	54	0	1
11	NhÊt Nguyªn Phôc Thñy §¬n	6	1	0	10	1	0	11	5	1	2	10	3	1	2	9	2	1	2	3	2	1	2	1	2	0	0	0		0	7	0	4	30	54	0	1
